Client,regnr,Marke,Fordonsslag,Fordonsstatus,Karosserikod,Arsmodell,TotalVikt,Egenklass,Motoreffekt,Handelsbet,Karossny,api_matched,UW_Kategori,classification_method,classification_confidence,classification_reasoning
Client - 15,REGNR2173,"VOLKSWAGEN, VW",LB,ITRAFIK,Skåpbil,2022.0,,Lätt lastbil,900,CADDY,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 15,REGNR2174,TRAILERGRUPPEN 0753,SLÄP,ITRAFIK,Släpkärra,1999.0,,Lätt släp,,,Släpkärra,True,Släp,rule_based,,
Client - 15,REGNR2175,THULE A1,SLÄP,ITRAFIK,För transport av båtar,2012.0,,Lätt släp,,THULE ES600U,För transport av båtar,True,Släp,rule_based,,
Client - 15,REGNR2176,SCANIA P93ML 4X2L 28042Z,LB,ITRAFIK,Brandfordon,1995.0,,Brandbil,2080,,Brandfordon,True,Brandfordon,rule_based,,
Client - 15,REGNR2177,POLARIS SPORSMAN 6X6,TGSK,ITRAFIK,Hjul,2008.0,,???,280,,Hjul,False,Släp,ml_model,0.979,LogReg: Släp (98%)
Client - 15,REGNR2178,SCANIA P370B4X2NA,LB,ITRAFIK,Lastbil,2021.0,,Brandbil,2720,,Lastbil,True,Brandfordon,rule_based,,
Client - 15,REGNR2179,SCANIA P410B6X2*4NB,LB,ITRAFIK,Lastbil,2021.0,,Brandbil,3020,,Lastbil,True,Brandfordon,rule_based,,
Client - 15,REGNR2180,POLARIS SPORSMAN 6X6,TGHJUL,ITRAFIK,,2009.0,,???,280,,,False,Släp,ml_model,0.966,LogReg: Släp (97%)
Client - 15,REGNR2181,SCANIA P94GB 4X2 NZ310,LB,ITRAFIK,Brandfordon,1999.0,,Brandbil,2280,,Brandfordon,True,Brandfordon,rule_based,,
Client - 15,REGNR2182,VOLVO B10 M,LB,ITRAFIK,Brandfordon,2001.0,,Brandbil,2650,,Brandfordon,True,Brandfordon,rule_based,,
Client - 15,REGNR2183,STRADA UNIVERSAL,SLÄP,AVST,Brandfordon,1978.0,,Lätt släp,,,Brandfordon,True,Släp,rule_based,,
Client - 15,REGNR2184,VOLKSWAGEN,LB,ITRAFIK,Lastbil,2019.0,,Brandbil lätt,1500,AMAROK,Lastbil,True,Lätt brandfordon,rule_based,,
Client - 15,REGNR2185,SCANIAP124GB 4X2 NZ 360,LB,ITRAFIK,Brandfordon,2000.0,,Brandbil,2650,,Brandfordon,True,Brandfordon,rule_based,,
Client - 15,REGNR2186,BR FRANSSON,SLÄP,ITRAFIK,Släpkärra,1983.0,,Lätt släp,,600,Släpkärra,True,Släp,rule_based,,
Client - 15,REGNR2187,SCANIA P370B4X2NA,LB,ITRAFIK,Lastbil,2020.0,,Brandbil,2720,,Lastbil,True,Brandfordon,rule_based,,
Client - 15,REGNR2188,TIKI,SLÄP,ITRAFIK,Släpkärra,2019.0,,Släp,,CP550-RB/1600,Släpkärra,True,Släp,rule_based,,
Client - 15,REGNR2189,SKODA,PB,ITRAFIK,Stationsvagn kombivagn,2016.0,,Personbil,810,OCTAVIA,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 15,REGNR2190,"VOLKSWAGEN, VW  2KN",LB,ITRAFIK,Skåpbil,2014.0,,Brandbil lätt,1030,CADDY,Skåpbil,True,Lätt brandfordon,rule_based,,
Client - 15,REGNR2191,VOLKSWAGEN CADDY,LB,ITRAFIK,Skåpbil,2011.0,,Brandbil lätt,1030,,Skåpbil,True,Lätt brandfordon,rule_based,,
Client - 15,REGNR2192,"VOLKSWAGEN, VW  2K",PB,ITRAFIK,Fordon avsett för fler ändamål,2011.0,,Personbil,750,CADDY,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
