Client,CLAIM_TYPE,CLAIM_CAUSE,CLAIM_YEAR,DAMAGE_DATE,LAST_MONTH_NET_PAID,LAST_MONTH_REMAINING_RESERVES,LAST_MONTH_INCURRED,DEDUCTIBLE,FLEET_TYPE,FLEET_GROUP,Net paid adj,Reserves adj,Incurred adj,idx,Net paid idx,Reserves idx,Incurred idx,Incl. 0,Ex. 0,minor,major
Client - 6,"Vagn, Additional insurance","Single vehicle accident, Rental car",2022,2022-07-05,15959,0,15959,0,Personbil,Personbil hel,15959,0,15959,1.0499918221198097,16756.819489210044,0.0,16756.819489210044,1,1,16756,0
Client - 6,"Additional insurance, Ansvar, Vagn","Rental car, Yield, Annan olycka",2022,2022-08-13,13959,0,13959,0,Personbil,Personbil hel,13959,0,13959,1.0455592846950434,14594.962055058111,0.0,14594.962055058111,1,1,14594,0
Client - 6,"Vagn, Additional insurance","Single vehicle accident, Rental car",2021,2021-02-19,4558,0,4558,0,Personbil,Personbil hel,4558,0,4558,1.138109015120565,5187.500890919536,0.0,5187.500890919536,1,1,5187,0
Client - 6,Additional insurance,Rental car,2020,2020-04-09,0,0,0,0,Personbil,Personbil halv,0,0,0,1.164242831465623,0.0,0.0,0.0,1,0,0,0
Client - 6,Bilansvar,Påkörd/bilolycka,2019,2019-05-22,0,0,0,0,,,0,0,0,1.1889382243053055,0.0,0.0,0.0,1,0,0,0
Client - 6,Maskinskade,Driftsstans,2019,2019-08-31,39247,0,39247,0,Personbil,Personbil Halv,39247,0,39247,1.1799791046919559,46310.63992184519,0.0,46310.63992184519,1,1,46310,0
Client - 6,"Additional insurance, Vagn, Ansvar","Rental car, Annan olycka, Påkjørt parkert bil",2019,2019-09-29,11537,0,9300,0,Personbil,Personbil Hel,11537,0,9300,1.1775549542754817,13585.451507476233,0.0,10951.26107476198,1,1,10951,0
Client - 6,"Ansvar, Additional insurance, Vagn","Hit property, Rental car, Annan olycka",2022,2022-11-17,0,10823,10823,0,Personbil,Personbil hel,0,10823,10823,1.0328665478267447,0.0,11178.714647128858,11178.714647128858,1,1,11178,0
Client - 6,"Vagn, Additional insurance","Single vehicle accident, Rental car",2022,2022-11-14,6480,0,6480,0,Personbil,Personbil hel,6480,0,6480,1.0328665478267447,6692.975229917306,0.0,6692.975229917306,1,1,6692,0
Client - 6,"Vagn, Additional insurance","Single vehicle accident, Rental car",2022,2022-06-27,0,0,0,0,Personbil,Personbil hel,0,0,0,1.054526910261884,0.0,0.0,0.0,1,0,0,0
Client - 6,Partly own damage,Rescue,2022,2022-07-06,0,0,0,0,Personbil,Personbil hel,0,0,0,1.0499918221198097,0.0,0.0,0.0,1,0,0,0
Client - 6,Partly own damage,Glass - repair,2020,2020-06-15,450,0,450,0,Personbil,Personbil hel,450,0,450,1.1611101902209282,522.4995855994177,0.0,522.4995855994177,1,1,522,0
Client - 6,Ansvar,Hit property,2019,2019-09-23,0,0,0,0,Brandfordon,Lätt brandfordon,0,0,0,1.1775549542754817,0.0,0.0,0.0,1,0,0,0
Client - 6,Kasko,Ukjent / Ikke oppgitt,2019,2019-11-20,0,0,0,0,Personbil,Personbil Halv,0,0,0,1.1726796840969527,0.0,0.0,0.0,1,0,0,0
Client - 6,"Vagn, Additional insurance","Single vehicle accident, Rental car",2022,2022-08-17,7891,0,7891,0,Personbil,Personbil hel,7891,0,7891,1.0455592846950434,8250.508315528588,0.0,8250.508315528588,1,1,8250,0
Client - 6,Partly own damage,Glass - replacement of windshield,2019,2019-09-13,5440,0,5440,0,Buss,Minibuss,5440,0,5440,1.1775549542754817,6405.89895125862,0.0,6405.89895125862,1,1,6405,0
Client - 6,Partly own damage,Glass - replacement of windshield,2019,2019-02-26,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.200558420259328,0.0,0.0,0.0,1,0,0,0
Client - 6,Additional insurance,Rental car,2019,2019-10-28,0,0,0,0,Personbil,Personbil Halv,0,0,0,1.1752586153280005,0.0,0.0,0.0,1,0,0,0
Client - 6,Additional insurance,Rental car,2023,2023-01-24,0,0,0,0,Personbil,Personbil halv,0,0,0,1.0248988356562394,0.0,0.0,0.0,1,0,0,0
Client - 6,Partly own damage,Glass - replacement of windshield,2020,2020-09-14,1369,0,1369,0,Personbil,Personbil halv,1369,0,1369,1.1542833305193285,1580.2138794809607,0.0,1580.2138794809607,1,1,1580,0
Client - 6,"Additional insurance, Vagn","Rental car, Single vehicle accident",2021,2021-10-27,0,0,0,0,Personbil,Personbil hel,0,0,0,1.1000866940755794,0.0,0.0,0.0,1,0,0,0
Client - 6,"Vagn, Additional insurance","Single vehicle accident, Rental car",2021,2021-02-17,2276,0,2276,0,Personbil,Personbil hel,2276,0,2276,1.138109015120565,2590.336118414406,0.0,2590.336118414406,1,1,2590,0
Client - 6,Vagn,Påkjørsel dyr,2021,2021-12-03,0,0,0,0,Personbil,Personbil halv,0,0,0,1.0875911369863258,0.0,0.0,0.0,1,0,0,0
Client - 6,Partly own damage,Glass - repair,2020,2020-02-03,975,0,975,0,Personbil,Personbil hel,975,0,975,1.1671869599566365,1138.0072859577206,0.0,1138.0072859577206,1,1,1138,0
Client - 6,Partly own damage,Glass - repair,2023,2023-04-04,410,0,410,0,Personbil,Personbil halv,410,0,410,1.0136697314539869,415.6045898961346,0.0,415.6045898961346,1,1,415,0
Client - 6,Partly own damage,Innbrudd,2021,2021-01-09,0,0,0,0,Personbil,Personbil halv,0,0,0,1.142055847439159,0.0,0.0,0.0,1,0,0,0
Client - 6,Additional insurance,Rental car,2020,2020-01-08,5125,0,5125,0,Personbil,Personbil halv,5125,0,5125,1.1687322604768526,5989.75283494387,0.0,5989.75283494387,1,1,5989,0
Client - 6,Additional insurance,Rental car,2022,2022-02-10,0,0,0,0,Personbil,Personbil hel,0,0,0,1.0760148127716114,0.0,0.0,0.0,1,0,0,0
Client - 6,Partly own damage,Glass - repair,2020,2020-01-09,550,0,550,0,Personbil,Personbil halv,550,0,550,1.1687322604768526,642.8027432622689,0.0,642.8027432622689,1,1,642,0
Client - 6,"Additional insurance, Partly own damage","Rental car, Machine damage",2023,2023-04-20,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.0136697314539869,0.0,0.0,0.0,1,0,0,0
Client - 6,Partly own damage,Glass - repair,2019,2019-03-11,1253,0,1253,0,Personbil,Personbil Halv,1253,0,1253,1.1963179725577933,1498.986419614915,0.0,1498.986419614915,1,1,1498,0
Client - 6,Partly own damage,Rescue,2019,2019-04-05,0,0,0,0,Personbil,Personbil Halv,0,0,0,1.1924174712054612,0.0,0.0,0.0,1,0,0,0
Client - 6,Partly own damage,Glass - repair,2023,2023-03-01,428,0,428,0,Personbil,Personbil halv,428,0,428,1.0173176239356971,435.4119430444784,0.0,435.4119430444784,1,1,435,0
Client - 6,Additional insurance,Rental car,2019,2019-07-12,0,0,0,0,Personbil,Personbil Halv,0,0,0,1.1827713544079563,0.0,0.0,0.0,1,0,0,0
Client - 6,"Ansvar, Vagn","Påkjørt parkert bil, Annan olycka",2021,2021-02-11,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.138109015120565,0.0,0.0,0.0,1,0,0,0
Client - 6,"Additional insurance, Partly own damage","Rental car, Machine damage",2023,2023-01-16,11767,0,11767,0,Lätt lastbil,Lätt lastbil,11767,0,11767,1.0248988356562394,12059.98459916697,0.0,12059.98459916697,1,1,12059,0
Client - 6,Partly own damage,Rescue,2021,2021-08-24,0,0,0,0,Personbil,Personbil halv,0,0,0,1.110381205992676,0.0,0.0,0.0,1,0,0,0
Client - 6,Additional insurance,Rental car,2020,2020-05-08,0,0,0,0,Personbil,Personbil halv,0,0,0,1.1628357027876666,0.0,0.0,0.0,1,0,0,0
Client - 6,"Additional insurance, Vagnskadegaranti","Rental car, Påkjørsel dyr",2022,2022-11-23,0,0,0,0,Personbil,Personbil halv,0,0,0,1.0328665478267447,0.0,0.0,0.0,1,0,0,0
